,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,-5.178388094528762e-13,4.948519427567891e-12,-4.761269246295959e-13
3,-2.58899443645553e-12,2.4741919842637613e-11,-2.3878255656721583e-12
4,-7.248644827044263e-12,6.927554696677368e-11,-6.7053263260315915e-12
5,-1.5531662853892633e-11,1.484437314899128e-10,-1.4409645695360762e-11
6,-2.847259576226831e-11,2.721397934158832e-10,-2.6492594968494018e-11
7,-4.710560525111242e-11,4.502560584853419e-10,-4.39568171554812e-11
8,-7.24643275798931e-11,6.926839062303762e-10,-6.781589772789302e-11
9,-1.0558159440743718e-10,1.009313887053189e-09,-9.909463629261776e-11
10,-1.4748893748574638e-10,1.410035971266913e-09,-1.3882962533889947e-10
11,-1.9921578719456008e-10,1.904740026462527e-09,-1.880703590148866e-10
12,-2.6178826955248746e-10,2.5033166603316945e-09,-2.4788118792368087e-10
13,-3.362275118316048e-10,3.215658612995291e-09,-3.193445421620528e-10
14,-4.235473857820513e-10,4.051662934244845e-09,-4.035659600385524e-10
15,-5.247516516287106e-10,5.0212342347967414e-09,-5.016815790477741e-10
16,-6.40830516568792e-10,6.134289354361799e-09,-6.148688632497293e-10
17,-7.727566888273583e-10,7.400763840667576e-09,-7.443614516771071e-10
18,-9.214810920061823e-10,8.830620680277104e-09,-8.914691105967132e-10
19,-1.0879285033918474e-09,1.0433861762143237e-08,-1.0576038539394987e-09
20,-1.2729934924112214e-09,1.222054258676647e-08,-1.2443133575957467e-09
21,-1.4775371594803842e-09,1.4200790756582015e-08,-1.4533228324851987e-09
22,-1.7023853088405388e-09,1.638482879643703e-08,-1.6865865378273753e-09
23,-1.948328829410868e-09,1.8783001857101023e-08,-1.9463501109909825e-09
24,-2.216127203317209e-09,2.1405810850804645e-08,-2.2352248665395425e-09
25,-2.506516211255797e-09,2.4263951557698747e-08,-2.5562751791298583e-09
26,-2.8202210567522587e-09,2.7368360228449914e-08,-2.9131200188204393e-09
27,-3.1579762883247927e-09,3.073026619415673e-08,-3.3100496605067125e-09
28,-3.5205540615759243e-09,3.436125198412416e-08,-3.752158550083551e-09
29,-3.908802455943435e-09,3.8273321448911145e-08,-4.245495287756377e-09
30,-4.323695748677496e-09,4.24789763948597e-08,-4.797230693297841e-09
31,-4.766398759025372e-09,4.6991302261526734e-08,-5.41584495865953e-09
32,-5.238347618234358e-09,5.18240634195476e-08,-6.111334979623486e-09
33,-5.741349607840476e-09,5.699180873780672e-08,-6.895443099036511e-09
34,-6.27771085100072e-09,6.250980656708084e-08,-7.781499447231274e-09
35,-6.850345054187407e-09,6.839388452059718e-08,-8.784049722078501e-09
36,-7.462849221947287e-09,7.46603819806321e-08,-9.918738543140897e-09
37,-8.119582525628901e-09,8.13261343902953e-08,-1.1202264725870012e-08
38,-8.825744701140547e-09,8.840845715495229e-08,-1.2652335432871124e-08
39,-9.587454583582307e-09,9.592512938627196e-08,-1.4287619663392134e-08
40,-1.041182941788763e-08,1.0389437765798284e-07,-1.6127701387273017e-08
41,-1.1307065606687578e-08,1.1233485988044877e-07,-1.8193032480388155e-08
42,-1.2282521570552323e-08,1.2126564934161688e-07,-2.0504885476124754e-08
43,-1.3348803402612221e-08,1.3070621890506638e-07,-2.3085306012309344e-08
44,-1.4517854000291205e-08,1.4067642530197938e-07,-2.5957064725540066e-08
45,-1.580304635238091e-08,1.51196493402918e-07,-2.9143608225140405e-08
46,-1.721928165070869e-08,1.6228700030725723e-07,-3.266900866671643e-08
47,-1.8783092882838777e-08,1.7396885904286027e-07,-3.655791134019252e-08
48,-2.0512754546073685e-08,1.8626330162585662e-07,-4.0835479588695275e-08
49,-2.2428399103822e-08,1.9919186118995278e-07,-4.5527336282155287e-08
50,-2.4552140783335056e-08,2.1277635285627048e-07,-5.0659500982361215e-08
51,-2.690820728889503e-08,2.2703885297797415e-07,-5.625832185380004e-08
52,-2.9523079976609875e-08,2.4200167635864377e-07,-6.235040129637663e-08
53,-3.2425643005724246e-08,2.576873510091899e-07,-6.89625142015189e-08
54,-3.56473419463324e-08,2.7411858997489203e-07,-7.612151766186929e-08
55,-3.922235228396932e-08,2.9131825973168556e-07,-8.385425089649623e-08
56,-4.3187758217010375e-08,3.0930934461901074e-07,-9.218742408826267e-08
57,-4.758374209224464e-08,3.2811490674534664e-07,-1.0114749476779287e-07
58,-5.245378476638589e-08,3.477580407720116e-07,-1.1076053031971976e-07
59,-5.784487711550722e-08,3.6826182295104985e-07,-1.2105205513214723e-07
60,-6.380774283917974e-08,3.896492537642955e-07,-1.3204688086036737e-07
61,-7.039707262008785e-08,4.119431934833161e-07,-1.4376891823192177e-07
62,-7.767176960162375e-08,4.3516628994438153e-07,-1.562409687835079e-07
63,-8.569520603387039e-08,4.5934089780944206e-07,-1.6948449489271045e-07
64,-9.453549081082861e-08,4.844889885640539e-07,-1.8351936645112876e-07
65,-1.0426574747704492e-07,5.106320504871516e-07,-1.9836358252258715e-07
66,-1.14964402118205e-07,5.377909778165145e-07,-2.140329663434926e-07
67,-1.267254817084087e-07,5.660089998940323e-07,-2.3059394102003916e-07
68,-1.3965937225316745e-07,5.953548111123982e-07,-2.481708322867044e-07
69,-1.5388321522456354e-07,6.259028064222885e-07,-2.6690043815732874e-07
70,-1.695131854094679e-07,6.577031602915723e-07,-2.868619295094618e-07
71,-1.866637728535254e-07,6.907779331192858e-07,-3.080675575714591e-07
72,-2.05454618082064e-07,7.283262603336838e-07,-3.3089870091819544e-07
73,-2.2601131119704976e-07,7.735449656057936e-07,-3.557353298865205e-07
74,-2.4846689707095444e-07,8.264500420937093e-07,-3.8257876991157846e-07
75,-2.729633725016626e-07,8.870562621258793e-07,-4.1142452295558547e-07
76,-2.9965317923557517e-07,9.553773366960967e-07,-4.422619314359158e-07
