,0
0,0.0
1,9.786267507467213e-10
2,2.8321265090956345e-09
3,5.470882287213442e-09
4,8.816992785249407e-09
5,1.2802345186243993e-08
6,1.736708233034929e-08
7,2.245836807036689e-08
8,2.802938983149853e-08
9,3.4038550526342336e-08
10,4.044881536095147e-08
11,4.7227188834276224e-08
12,5.4344304523017954e-08
13,6.177411555537732e-08
14,6.949367746190305e-08
15,7.748301745908105e-08
16,8.572508590865237e-08
17,9.420578623385313e-08
18,1.0291407984658393e-07
19,1.1184216242506334e-07
20,1.209857074291588e-07
21,1.303441723693674e-07
22,1.399211627677873e-07
23,1.4972484889030543e-07
24,1.5976843014845812e-07
25,1.7007064296250687e-07
26,1.806563085189102e-07
27,1.9155691876222337e-07
28,2.028112608303541e-07
29,2.1446608277588114e-07
30,2.265768062337163e-07
31,2.3920829652901305e-07
32,2.524357024958517e-07
33,2.662893829085909e-07
34,2.8078554651475717e-07
35,2.959388545397454e-07
36,3.117624173806975e-07
37,3.28267870235968e-07
38,3.4546550041559377e-07
39,3.6336440515859303e-07
40,3.819726631378124e-07
41,4.0129750684577265e-07
42,4.2134548571691813e-07
43,4.4212261218655566e-07
44,4.636344847044502e-07
45,4.858863831436274e-07
46,5.08883333138898e-07
47,5.326301369029198e-07
48,5.571313683990503e-07
49,5.823913316154712e-07
50,6.084139808730611e-07
51,6.352028022816448e-07
52,6.62760655714994e-07
53,6.910895767522032e-07
54,7.201905380189115e-07
55,7.500631693989772e-07
56,7.807054365585165e-07
57,8.121132770923118e-07
58,8.442801941942484e-07
59,8.771968062422757e-07
60,9.108503527202957e-07
61,9.452241554740448e-07
62,9.802970350266137e-07
63,1.0160426817697662e-06
64,1.0524289821274888e-06
65,1.0894173001398157e-06
66,1.134843575386973e-06
67,1.1883087490166999e-06
68,1.24955722110197e-06
69,1.308463074674689e-06
70,1.365412272752914e-06
71,2.031251001197561e-06
72,2.6329212637754214e-06
73,3.1789143447980928e-06
74,3.6763551007485326e-06
75,4.1312687670442825e-06
76,4.548785981183888e-06
77,4.933290232038433e-06
78,5.288538807690016e-06
79,5.617761076913769e-06
80,5.9237347210639575e-06
81,6.2085902087410134e-06
82,6.474087377006385e-06
83,6.721749958821599e-06
84,6.952888130301802e-06
85,7.1686176810629425e-06
86,9.319143903388744e-06
87,1.1469411702807056e-05
